ID VALOR DATA
A25 5,33 01/01/2023
B12 9,25 02/01/2023
C44 35,42 03/01/2023
E88 48,65 04/01/2023
A25 78,67 05/01/2023
B12 64,06 06/01/2023
E88 12,22 07/01/2023
B12 10,28 08/01/2023
C44 11,75 09/01/2023
B12 56,49 10/01/2023
A25 46,2 11/01/2023
B12 47,77 12/01/2023
C44 82,69 13/01/2023
E88 54,1 14/01/2023
B12 89,77 15/01/2023
C44 30,12 16/01/2023
E88 33,87 17/01/2023
C44 10,38 18/01/2023
A25 24,86 19/01/2023
B12 45,08 20/01/2023
E88 9,4 21/01/2023
C44 33,05 22/01/2023
A25 40,46 23/01/2023
B12 52,52 24/01/2023
E88 98,26 25/01/2023
B12 56,86 26/01/2023
A25 58,37 27/01/2023
E88 41,32 28/01/2023
C44 51,08 29/01/2023
A25 64,85 30/01/2023
B12 25,41 31/01/2023
E88 97,75 01/02/2023
E88 66,48 02/02/2023
B12 51,06 03/02/2023
C44 87,17 04/02/2023
A25 17,98 05/02/2023
B12 25,72 06/02/2023
C44 9,94 07/02/2023
E88 97,76 08/02/2023
A25 83,88 09/02/2023
A25 97,05 10/02/2023
E88 96,3 11/02/2023
B12 41,68 12/02/2023
C44 71,77 13/02/2023
E88 91,79 14/02/2023
A25 34,24 15/02/2023
A25 28,26 16/02/2023
B12 11,9 17/02/2023
C44 47,64 18/02/2023
E88 55,57 19/02/2023
A25 88,94 20/02/2023
B12 34,07 21/02/2023
E88 34,94 22/02/2023
B12 83,2 23/02/2023
C44 66,53 24/02/2023
B12 12,95 25/02/2023
A25 56,67 26/02/2023
B12 33,25 27/02/2023
C44 91,26 28/02/2023
E88 59,7 01/03/2023
B12 3,61 02/03/2023
C44 51,92 03/03/2023
E88 96,59 04/03/2023
C44 56,02 05/03/2023
A25 85,52 06/03/2023
B12 16,82 07/03/2023
E88 53,3 08/03/2023
C44 59,14 09/03/2023
A25 11,37 10/03/2023
B12 57,22 11/03/2023
E88 79,03 12/03/2023
B12 72,37 13/03/2023
A25 37,4 14/03/2023
E88 97,5 15/03/2023
C44 78,83 16/03/2023
A25 8,9 17/03/2023
B12 83,39 18/03/2023
E88 36,35 19/03/2023
E88 2,35 20/03/2023
B12 38,12 21/03/2023
C44 37,97 22/03/2023
A25 45,19 23/03/2023
B12 68,62 24/03/2023
C44 59,27 25/03/2023
E88 81,54 26/03/2023
A25 72,97 27/03/2023
A25 68,5 28/03/2023
E88 7,47 29/03/2023
B12 50,5 30/03/2023
C44 16,97 31/03/2023
A25 77,18 01/04/2023
B12 92,88 02/04/2023
C44 76,9 03/04/2023
E88 58,65 04/04/2023
A25 48,74 05/04/2023
B12 30,53 06/04/2023
E88 55,35 07/04/2023
